pH,Conductivity (mS/m),Turbidity (NTU),Colour (TCU),Ammonium (mg/L)
7.57,34.24,16.98,79,0.11
7.71,36.36,28.8,71,0.07
7.49,37.72,56.75,46,0.07
7.29,33.3,41.3,118.8,0.11
6.81,19.53,165,960,2.46
6.84,24.16,68.76,426,0.86
7.02,23.33,51.75,174.25,0.61
6.63,16.55,82.5,160.25,0.96
6.72,19.9,63.67,251.25,1.05
6.86,20.51,54.9,165.4,0.61
7.26,21.96,49.34,142,0.32
7.33,24.43,33.1,66,0.25
7.12,25.27,29.1,57.4,0.22
7.1,27.14,102.62,77.2,0.42
7.25,29.65,48.08,65.75,0.32
7.32,30.98,46.22,68.5,0.11
7.12,27.79,111.18,619.6,0.09
7.2,27.96,94.02,384,0.09
7.33,30.66,55.04,88,0.23
7.58,32.2,40.11,52.25,0.13
7.56,32.9,41.6,54,0.04
7.66,33.6,38.23,29.25,0.06
7.41,34.87,32.3,32,0.09
7.71,36.33,25.01,26.5,0.08
7.54,39,34.88,37.2,0.05
7.57,41.35,24.2,27.5,0.03
7.49,44.5,20.9,34.33,0.19
7.62,49.35,21.58,56.2,0.08
7.5,48.7,28.12,61.25,0.04
7.5,45.6,39.58,62.75,0.05
7.24,38.86,48.66,57.2,0.1
7.95,40,50,75,0.3
6.875,26.52499962,66.97499847,140,0.025
7.01,31.9,28.18,62.8,0.05
7.17,33.67,12.18,25.5,0.02
7.27,31.68624999,23.35,34.75,0.045499999
7.23,43.86,13.88,23.6,0.24
7.09,43,15.55,29.25,0.09
7.09,44.9,25.83,61,0.19
7.09,45.33,51.75,164.5,1.15
6.77,26.6,60.7,229,0.13
6.25,23.6,33.4,148,0.33
6.29,26.25,32.3,98,0.28
6.8,27.35,20.51,50,0.4
6.43,30.78,23.2,70,0.91
6.41,27.16,24.64,47,0.5
6.21,29.1,6.21,32,0.037
6.87,34.4,16.94,30,2.36
7.26,35.08,18.4,86,0.05
7.38,35.95,18.4,115,0.69
7.25,38.42,18.35,133,1.88
7.06,35.83,19.6,170,1.44
6.85,30.87,31.25,243,1.4
7,29.14,27.06,193,0.65
6.68,30.98,45.5,302,1.7
6.66,30.7,41.97,228,0.53
7.17,0.21,50.3,29.65,0.21
6.96,31.53,19.75,134,0.16
6.99,30.6,15.35,35,0.035
